matColumns: HU rho RSP Lrad Ipot H C N O Na Mg P S Cl K Ca Fe I
# Units: dimensionless g/cm^3 dimensionless eV g/cm^2
mat: -953 0.0481801 0.0435873 36.9424 84.61882763254341 1.86911 1.90541 63.1803 32.8274 0.0362934 0 0.0362934 0.0544402 0.0544402 0.0362934 0 0 0
mat: -952 0.0491792 0.0445115 36.9404 84.5677441969495 1.90888 1.94595 62.8969 33.0259 0.0370656 0 0.0370656 0.0555985 0.0555985 0.0370656 0 0 0
mat: -951 0.0501784 0.0454366 36.9385 84.51671205445624 1.94865 1.98649 62.6135 33.2243 0.0378378 0 0.0378378 0.0567568 0.0567568 0.0378378 0 0 0
mat: -950 0.0511775 0.0463624 36.9365 84.46576861884883 1.98842 2.02703 62.3301 33.4228 0.03861 0 0.03861 0.0579151 0.0579151 0.03861 0 0 0
mat: -949 0.0521767 0.0472892 36.9345 84.41487614428036 2.02819 2.06757 62.0467 33.6212 0.0393822 0 0.0393822 0.0590734 0.0590734 0.0393822 0 0 0
mat: -948 0.0531758 0.0482167 36.9325 84.36409646313643 2.06795 2.10811 61.7633 33.8197 0.0401544 0 0.0401544 0.0602317 0.0602317 0.0401544 0 0 0
mat: -947 0.054175 0.0491451 36.9306 84.31334308677508 2.10772 2.14865 61.4799 34.0181 0.0409266 0 0.0409266 0.06139 0.06139 0.0409266 0 0 0
mat: -946 0.0551741 0.0500742 36.9286 84.26267800698892 2.14749 2.18919 61.1965 34.2166 0.0416988 0 0.0416988 0.0625483 0.0625483 0.0416988 0 0 0
mat: -945 0.0561733 0.0510043 36.9266 84.21208220650668 2.18726 2.22973 60.9131 34.4151 0.042471 0 0.042471 0.0637066 0.0637066 0.042471 0 0 0
mat: -944 0.0571724 0.0519351 36.9247 84.16153654454986 2.22703 2.27027 60.6297 34.6135 0.0432432 0 0.0432432 0.0648649 0.0648649 0.0432432 0 0 0
mat: -943 0.0581716 0.0528668 36.9227 84.1110788736319 2.2668 2.31081 60.3463 34.812 0.0440154 0 0.0440154 0.0660232 0.0660232 0.0440154 0 0 0
mat: -942 0.0591707 0.0537993 36.9207 84.06069510568044 2.30656 2.35135 60.0629 35.0104 0.0447876 0 0.0447876 0.0671815 0.0671815 0.0447876 0 0 0
mat: -941 0.0601699 0.0547326 36.9187 84.01037500235826 2.34633 2.39189 59.7795 35.2089 0.0455598 0 0.0455598 0.0683398 0.0683398 0.0455598 0 0 0
mat: -940 0.061169 0.0556667 36.9168 83.9601045840483 2.3861 2.43243 59.4961 35.4073 0.0463321 0 0.0463321 0.0694981 0.0694981 0.0463321 0 0 0
mat: -939 0.0621682 0.0566017 36.9148 83.90992155580405 2.42587 2.47297 59.2127 35.6058 0.0471043 0 0.0471043 0.0706564 0.0706564 0.0471043 0 0 0
mat: -938 0.0631673 0.0575375 36.9128 83.85978769323833 2.46564 2.51351 58.9293 35.8042 0.0478765 0 0.0478765 0.0718147 0.0718147 0.0478765 0 0 0
mat: -937 0.0641665 0.0584741 36.9109 83.80974121667934 2.50541 2.55405 58.6459 36.0027 0.0486487 0 0.0486487 0.072973 0.072973 0.0486487 0 0 0
mat: -936 0.0651656 0.0594116 36.9089 83.75978672649485 2.54517 2.59459 58.3625 36.2012 0.0494209 0 0.0494209 0.0741313 0.0741313 0.0494209 0 0 0
mat: -935 0.0661648 0.0603499 36.9069 83.70985680067518 2.58494 2.63513 58.0791 36.3996 0.050193 0 0.050193 0.0752896 0.0752896 0.050193 0 0 0
mat: -934 0.0671639 0.061289 36.9049 83.66001409076335 2.62471 2.67568 57.7957 36.5981 0.0509653 0 0.0509653 0.0764479 0.0764479 0.0509653 0 0 0
mat: -933 0.0681631 0.0622289 36.903 83.6102182352385 2.66448 2.71622 57.5124 36.7965 0.0517375 0 0.0517375 0.0776062 0.0776062 0.0517375 0 0 0
mat: -932 0.0691622 0.0631697 36.901 83.56051090144558 2.70425 2.75676 57.229 36.995 0.0525097 0 0.0525097 0.0787645 0.0787645 0.0525097 0 0 0
mat: -931 0.0701614 0.0641112 36.899 83.51085161732125 2.74402 2.7973 56.9456 37.1934 0.0532819 0 0.0532819 0.0799228 0.0799228 0.0532819 0 0 0
mat: -930 0.0711605 0.0650536 36.897 83.46130271672281 2.78378 2.83784 56.6622 37.3919 0.0540541 0 0.0540541 0.0810811 0.0810811 0.0540541 0 0 0
mat: -929 0.0721597 0.0659969 36.8951 83.41177782414353 2.82355 2.87838 56.3788 37.5903 0.0548263 0 0.0548263 0.0822394 0.0822394 0.0548263 0 0 0
mat: -928 0.0731588 0.0669409 36.8931 83.36233942419317 2.86332 2.91892 56.0954 37.7888 0.0555985 0 0.0555985 0.0833977 0.0833977 0.0555985 0 0 0
mat: -927 0.074158 0.0678858 36.8911 83.31296796112782 2.90309 2.95946 55.812 37.9873 0.0563707 0 0.0563707 0.084556 0.084556 0.0563707 0 0 0
mat: -926 0.0751572 0.0688315 36.8892 83.26364376309249 2.94286 3 55.5286 38.1857 0.0571429 0 0.0571429 0.0857143 0.0857143 0.0571429 0 0 0
mat: -925 0.0761563 0.0697781 36.8872 83.21440576364259 2.98263 3.04054 55.2452 38.3842 0.0579151 0 0.0579151 0.0868726 0.0868726 0.0579151 0 0 0
mat: -924 0.0771554 0.0707254 36.8852 83.16523821727965 3.02239 3.08108 54.9618 38.5826 0.0586873 0 0.0586873 0.0880309 0.0880309 0.0586873 0 0 0
mat: -923 0.0781546 0.0716736 36.8832 83.11613314320998 3.06216 3.12162 54.6784 38.7811 0.0594595 0 0.0594595 0.0891892 0.0891892 0.0594595 0 0 0
mat: -922 0.0791538 0.0726226 36.8813 83.0670747138285 3.10193 3.16216 54.395 38.9795 0.0602317 0 0.0602317 0.0903475 0.0903475 0.0602317 0 0 0
mat: -921 0.0801529 0.0735725 36.8793 83.0181020939988 3.1417 3.2027 54.1116 39.178 0.0610039 0 0.0610039 0.0915058 0.0915058 0.0610039 0 0 0
